,date,true_confirm,predict_confirm
0,20200120,1,48.99799728393555
1,20200121,9,57.44770050048828
2,20200122,16,66.7415542602539
3,20200123,20,77.85111999511719
4,20200124,33,91.45513153076172
5,20200125,40,106.8487777709961
6,20200126,53,124.85757446289062
7,20200127,66,144.32369995117188
8,20200128,80,165.1763916015625
9,20200129,101,187.39625549316406
10,20200130,128,209.1936798095703
11,20200131,153,229.25733947753906
12,20200201,177,247.61483764648438
13,20200202,193,264.7533874511719
14,20200203,208,280.97332763671875
15,20200204,233,295.6688537597656
16,20200205,254,307.0160827636719
17,20200206,269,315.92474365234375
18,20200207,281,323.0750427246094
19,20200208,292,329.186767578125
20,20200209,295,334.4111022949219
21,20200210,302,339.7434997558594
22,20200211,306,344.59307861328125
23,20200212,313,348.98443603515625
24,20200213,318,352.3975524902344
25,20200214,326,354.9024353027344
26,20200215,328,356.264404296875
27,20200216,331,357.3030090332031
28,20200217,333,357.8424377441406
29,20200218,333,358.1553649902344
30,20200219,333,358.5882568359375
31,20200220,334,359.09637451171875
32,20200221,334,359.5195617675781
33,20200222,335,359.9427490234375
34,20200223,335,360.2854919433594
35,20200224,335,360.67291259765625
36,20200225,336,361.09686279296875
37,20200226,337,361.3382568359375
38,20200227,337,361.46417236328125
39,20200228,337,361.6966247558594
40,20200229,337,362.2174377441406
41,20200301,337,362.8343200683594
42,20200302,338,363.5115966796875
43,20200303,338,364.1605224609375
44,20200304,338,365.0806884765625
45,20200305,339,366.02020263671875
46,20200306,342,366.86212158203125
47,20200307,342,367.679443359375
48,20200308,342,368.9296569824219
49,20200309,342,370.59112548828125
50,20200310,344,372.6795349121094
51,20200311,344,375.0711669921875
52,20200312,346,377.8576965332031
53,20200313,350,381.0748596191406
54,20200314,353,384.6719970703125
55,20200315,355,389.41278076171875
56,20200316,358,395.33599853515625
57,20200317,361,402.50048828125
58,20200318,363,411.9493103027344
59,20200319,371,423.5669860839844
60,20200320,380,436.54443359375
61,20200321,394,450.60589599609375
62,20200322,404,464.7314453125
63,20200323,413,479.33905029296875
64,20200324,433,493.9898986816406
65,20200325,451,506.64990234375
66,20200326,468,517.2997436523438
67,20200327,485,525.7703247070312
68,20200328,492,532.51611328125
69,20200329,498,538.7842407226562
70,20200330,509,544.49365234375
71,20200331,516,548.8201904296875
72,20200401,522,552.582763671875
73,20200402,526,556.3601684570312
74,20200403,529,560.183837890625
75,20200404,531,564.0536499023438
