,date,true_confirm,predict_confirm
0,20200124,5,192.80128479003906
1,20200125,11,197.90530395507812
2,20200126,19,204.2204132080078
3,20200127,26,210.19204711914062
4,20200128,51,215.28787231445312
5,20200129,70,219.73513793945312
6,20200130,76,223.3944854736328
7,20200131,91,226.96554565429688
8,20200201,99,229.96664428710938
9,20200202,109,232.39627075195312
10,20200203,117,234.42767333984375
11,20200204,122,236.4151153564453
12,20200205,128,238.30682373046875
13,20200206,135,239.81817626953125
14,20200207,138,241.2874298095703
15,20200208,140,243.3773193359375
16,20200209,141,245.3308563232422
17,20200210,149,246.9502410888672
18,20200211,154,248.56626892089844
19,20200212,155,249.9632568359375
20,20200213,162,250.8990478515625
21,20200214,168,251.5137176513672
22,20200215,169,251.92945861816406
23,20200216,171,252.2088623046875
24,20200217,172,252.3288116455078
25,20200218,173,252.51805114746094
26,20200219,172,252.6074676513672
27,20200220,174,252.67787170410156
28,20200221,174,252.67787170410156
29,20200222,174,252.67787170410156
30,20200223,174,252.67787170410156
31,20200224,174,252.67787170410156
32,20200225,174,252.67787170410156
33,20200226,174,252.67787170410156
34,20200227,174,252.67787170410156
35,20200228,174,252.67787170410156
36,20200229,174,252.67787170410156
37,20200301,174,252.67787170410156
38,20200302,174,252.67787170410156
39,20200303,174,252.67787170410156
40,20200304,174,252.67787170410156
41,20200305,174,252.67787170410156
42,20200306,174,252.67787170410156
43,20200307,174,252.67787170410156
44,20200308,174,252.67787170410156
45,20200309,174,252.7169952392578
46,20200310,174,252.82464599609375
47,20200311,174,252.94461059570312
48,20200312,174,253.0630645751953
49,20200313,174,253.23704528808594
50,20200314,174,253.4061737060547
51,20200315,175,253.50376892089844
52,20200316,176,253.5380401611328
53,20200317,176,253.5380401611328
54,20200318,176,253.5380401611328
55,20200319,176,253.6166534423828
56,20200320,176,253.8308563232422
57,20200321,176,254.072998046875
58,20200322,176,254.30955505371094
59,20200323,176,254.65786743164062
60,20200324,176,255.03634643554688
61,20200325,178,255.33810424804688
62,20200326,180,255.56646728515625
63,20200327,180,255.79258728027344
64,20200328,180,256.0876159667969
65,20200329,180,256.376708984375
66,20200330,181,256.6475524902344
67,20200331,182,256.85205078125
68,20200401,183,256.94854736328125
69,20200402,184,256.9831848144531
70,20200403,184,256.9831848144531
71,20200404,184,256.9831848144531
72,20200405,184,256.9831848144531
73,20200406,184,256.9831848144531
74,20200407,184,256.9831848144531
75,20200408,184,256.9831848144531
76,20200409,184,256.9831848144531
77,20200410,184,256.9831848144531
78,20200411,184,256.9831848144531
79,20200412,184,256.9831848144531
80,20200413,184,256.9831848144531
81,20200414,184,256.9831848144531
82,20200415,184,256.9831848144531
83,20200416,184,256.9831848144531
84,20200417,184,256.9831848144531
85,20200418,184,257.0226745605469
86,20200419,184,257.0904846191406
87,20200420,184,257.14373779296875
88,20200421,184,257.2089538574219
89,20200422,184,257.3177185058594
90,20200423,184,257.3795471191406
91,20200424,185,257.4142150878906
92,20200425,185,257.4142150878906
93,20200426,185,257.4142150878906
94,20200427,185,257.4142150878906
95,20200428,185,257.4142150878906
96,20200429,185,257.4142150878906
97,20200430,185,257.4142150878906
98,20200501,185,257.4142150878906
99,20200502,185,257.4142150878906
100,20200503,185,257.4142150878906
101,20200504,185,257.4142150878906
102,20200505,185,257.4142150878906
103,20200506,185,257.4142150878906
104,20200507,185,257.4142150878906
105,20200508,185,257.4142150878906
106,20200509,185,257.4142150878906
107,20200510,185,257.4142150878906
108,20200511,185,257.4142150878906
109,20200512,185,257.4142150878906
110,20200513,185,257.4142150878906
111,20200514,185,257.4142150878906
112,20200515,185,257.4142150878906
113,20200516,185,257.4142150878906
114,20200517,185,257.4142150878906
115,20200518,185,257.4142150878906
116,20200519,185,257.4142150878906
117,20200520,185,257.4142150878906
118,20200521,185,257.4142150878906
119,20200522,185,257.4142150878906
120,20200523,185,257.4142150878906
121,20200524,185,257.4142150878906
122,20200525,185,257.4142150878906
123,20200526,185,257.4142150878906
124,20200527,185,257.4142150878906
125,20200528,185,257.4142150878906
126,20200529,185,257.4142150878906
127,20200530,185,257.4142150878906
128,20200531,185,257.4142150878906
129,20200601,185,257.4142150878906
130,20200602,185,257.4142150878906
131,20200603,185,257.4142150878906
132,20200604,185,257.4142150878906
133,20200605,185,257.4142150878906
134,20200606,185,257.4142150878906
135,20200607,185,257.4142150878906
136,20200608,185,257.4142150878906
137,20200609,185,257.4142150878906
