,date,true_confirm,predict_confirm
0,20200123,3,122.61792755126953
1,20200124,4,123.48890686035156
2,20200125,4,124.54446411132812
3,20200126,6,126.19439697265625
4,20200127,8,128.3170623779297
5,20200128,9,130.9385528564453
6,20200129,14,134.4362335205078
7,20200130,14,137.83499145507812
8,20200131,17,142.13156127929688
9,20200201,23,146.98524475097656
10,20200202,31,152.335693359375
11,20200203,42,157.04315185546875
12,20200204,54,160.79806518554688
13,20200205,59,163.60897827148438
14,20200206,65,166.28448486328125
15,20200207,69,168.45297241210938
16,20200208,78,170.39720153808594
17,20200209,80,171.3814239501953
18,20200210,81,172.17584228515625
19,20200211,83,172.98367309570312
20,20200212,84,173.73208618164062
21,20200213,86,174.46688842773438
22,20200214,88,174.94093322753906
23,20200215,89,175.19500732421875
24,20200216,89,175.39207458496094
25,20200217,89,175.78695678710938
26,20200218,90,176.1449432373047
27,20200219,91,176.37405395507812
28,20200220,91,176.53070068359375
29,20200221,91,176.76837158203125
30,20200222,91,176.99822998046875
31,20200223,93,177.2431640625
32,20200224,93,177.2431640625
33,20200225,93,177.2431640625
34,20200226,93,177.2431640625
35,20200227,93,177.2431640625
36,20200228,93,177.2431640625
37,20200229,93,177.2431640625
38,20200301,93,177.2431640625
39,20200302,93,177.2431640625
40,20200303,93,177.2431640625
41,20200304,93,177.2431640625
42,20200305,93,177.2431640625
43,20200306,93,177.2431640625
44,20200307,93,177.2431640625
45,20200308,93,177.2431640625
46,20200309,93,177.2431640625
47,20200310,93,177.2431640625
48,20200311,93,177.2431640625
49,20200312,93,177.2431640625
50,20200313,93,177.2431640625
51,20200314,93,177.2431640625
52,20200315,93,177.2431640625
53,20200316,93,177.2431640625
54,20200317,93,177.2431640625
55,20200318,93,177.32400512695312
56,20200319,93,177.46481323242188
57,20200320,93,177.5784454345703
58,20200321,93,177.87142944335938
59,20200322,93,178.26910400390625
60,20200323,93,178.67031860351562
61,20200324,94,179.11810302734375
62,20200325,95,179.55731201171875
63,20200326,95,179.90451049804688
64,20200327,97,180.26512145996094
65,20200328,98,180.3878631591797
66,20200329,98,180.3878631591797
67,20200330,98,180.3878631591797
68,20200331,98,180.3878631591797
69,20200401,98,180.3878631591797
70,20200402,98,180.3878631591797
71,20200403,98,180.3878631591797
72,20200404,98,180.3878631591797
73,20200405,98,180.46852111816406
74,20200406,98,180.60934448242188
75,20200407,98,180.72314453125
76,20200408,98,181.01596069335938
77,20200409,98,181.33372497558594
78,20200410,98,181.67384338378906
79,20200411,99,182.0681610107422
80,20200412,100,182.58895874023438
81,20200413,100,182.93988037109375
82,20200414,102,183.45323181152344
83,20200415,102,183.72982788085938
84,20200416,102,184.15451049804688
85,20200417,102,184.6820068359375
86,20200418,104,185.3585205078125
87,20200419,104,185.78079223632812
88,20200420,106,186.35726928710938
89,20200421,106,186.72979736328125
90,20200422,107,187.13865661621094
91,20200423,108,187.535400390625
92,20200424,109,187.83714294433594
93,20200425,109,188.08599853515625
94,20200426,110,188.34657287597656
95,20200427,110,188.51962280273438
96,20200428,110,188.71221923828125
97,20200429,111,188.95399475097656
98,20200430,111,189.0687255859375
99,20200501,112,189.27212524414062
100,20200502,112,189.33265686035156
101,20200503,112,190.27162170410156
102,20200504,112,191.25509643554688
103,20200505,112,192.1426544189453
104,20200506,112,193.76129150390625
105,20200507,113,195.86868286132812
106,20200508,113,198.1904754638672
107,20200509,124,200.80935668945312
108,20200510,127,202.62356567382812
109,20200511,127,204.25338745117188
110,20200512,133,206.47235107421875
111,20200513,134,208.09341430664062
112,20200514,138,209.77389526367188
113,20200515,140,211.31988525390625
114,20200516,144,212.83273315429688
115,20200517,146,213.9581298828125
116,20200518,151,214.9028778076172
117,20200519,152,215.31675720214844
118,20200520,152,215.62539672851562
119,20200521,154,215.98916625976562
120,20200522,154,216.10316467285156
121,20200523,155,216.22572326660156
122,20200524,155,216.22572326660156
123,20200525,155,216.22572326660156
124,20200526,155,216.22572326660156
125,20200527,155,216.22572326660156
126,20200528,155,216.22572326660156
127,20200529,155,216.22572326660156
128,20200530,155,216.22572326660156
129,20200531,155,216.22572326660156
130,20200601,155,216.22572326660156
131,20200602,155,216.22572326660156
132,20200603,155,216.22572326660156
133,20200604,155,216.22572326660156
134,20200605,155,216.22572326660156
135,20200606,155,216.22572326660156
136,20200607,155,216.22572326660156
137,20200608,155,216.22572326660156
138,20200609,155,216.22572326660156
139,20200610,155,216.22572326660156
140,20200611,155,216.22572326660156
141,20200612,155,216.22572326660156
142,20200613,155,216.22572326660156
143,20200614,155,216.22572326660156
144,20200615,155,216.22572326660156
145,20200616,155,216.22572326660156
146,20200617,155,216.22572326660156
147,20200618,155,216.22572326660156
148,20200619,155,216.22572326660156
149,20200620,155,216.22572326660156
150,20200621,155,216.22572326660156
151,20200622,155,216.22572326660156
152,20200623,155,216.22572326660156
153,20200624,155,216.22572326660156
154,20200625,155,216.22572326660156
155,20200626,155,216.22572326660156
156,20200627,155,216.22572326660156
157,20200628,155,216.22572326660156
158,20200629,155,216.22572326660156
159,20200630,155,216.22572326660156
160,20200701,155,216.22572326660156
161,20200702,155,216.22572326660156
162,20200703,155,216.22572326660156
163,20200704,155,216.22572326660156
164,20200705,155,216.22572326660156
165,20200706,155,216.22572326660156
166,20200707,155,216.22572326660156
167,20200708,155,216.22572326660156
168,20200709,155,216.22572326660156
169,20200710,155,216.22572326660156
170,20200711,155,216.22572326660156
171,20200712,155,216.22572326660156
172,20200713,155,216.22572326660156
173,20200714,155,216.22572326660156
174,20200715,155,216.22572326660156
175,20200716,155,216.22572326660156
176,20200717,155,216.22572326660156
177,20200718,155,216.38665771484375
178,20200719,155,216.50697326660156
179,20200720,155,216.61370849609375
180,20200722,155,216.76998901367188
181,20200724,155,217.00802612304688
182,20200725,155,217.2375030517578
183,20200726,157,217.48245239257812
184,20200727,157,217.48245239257812
185,20200728,157,217.48245239257812
186,20200729,157,217.48245239257812
187,20200730,157,217.48245239257812
188,20200731,157,217.48245239257812
189,20200801,157,217.48245239257812
190,20200802,157,217.48245239257812
191,20200803,157,217.48245239257812
192,20200804,157,217.48245239257812
193,20200806,157,217.48245239257812
194,20200807,157,217.48245239257812
195,20200808,157,217.48245239257812
196,20200809,157,217.48245239257812
197,20200810,157,217.48245239257812
198,20200812,157,217.48245239257812
199,20200813,157,217.48245239257812
200,20200814,157,217.48245239257812
201,20200815,157,217.48245239257812
202,20200816,157,217.48245239257812
203,20200817,157,217.48245239257812
204,20200818,157,217.48245239257812
205,20200820,157,217.48245239257812
206,20200821,157,217.48245239257812
207,20200822,157,217.48245239257812
208,20200823,157,217.48245239257812
209,20200824,157,217.48245239257812
210,20200825,157,217.48245239257812
211,20200826,157,217.48245239257812
212,20200827,157,217.48245239257812
213,20200828,157,217.48245239257812
214,20200829,157,217.48245239257812
215,20200830,157,217.48245239257812
216,20200831,157,217.48245239257812
217,20200901,157,217.48245239257812
218,20200902,157,217.48245239257812
219,20200903,157,217.48245239257812
220,20200904,157,217.48245239257812
221,20200905,157,217.48245239257812
222,20200906,157,217.48245239257812
223,20200907,157,217.48245239257812
224,20200909,157,217.48245239257812
225,20200910,157,217.48245239257812
226,20200911,157,217.48245239257812
227,20200913,157,217.48245239257812
228,20200914,157,217.48245239257812
229,20200915,157,217.48245239257812
230,20200919,157,217.48245239257812
231,20200920,157,217.48245239257812
232,20200921,157,217.48245239257812
233,20200922,157,217.48245239257812
234,20200923,157,217.48245239257812
235,20200924,157,217.48245239257812
236,20200925,157,217.48245239257812
237,20200926,157,217.48245239257812
238,20200927,157,217.48245239257812
239,20200928,157,217.48245239257812
240,20200929,157,217.48245239257812
241,20201001,157,217.48245239257812
242,20201002,157,217.48245239257812
243,20201003,157,217.48245239257812
244,20201004,157,217.48245239257812
245,20201005,157,217.48245239257812
246,20201006,157,217.48245239257812
247,20201007,157,217.48245239257812
248,20201008,157,217.48245239257812
249,20201009,157,217.48245239257812
250,20201010,157,217.48245239257812
251,20201011,157,217.48245239257812
252,20201012,157,217.48245239257812
253,20201013,157,217.48245239257812
254,20201014,157,217.48245239257812
255,20201015,157,217.48245239257812
256,20201016,157,217.48245239257812
257,20201017,157,217.48245239257812
258,20201018,157,217.48245239257812
259,20201019,157,217.48245239257812
260,20201020,157,217.48245239257812
261,20201021,157,217.48245239257812
262,20201022,157,217.48245239257812
263,20201023,157,217.48245239257812
264,20201024,157,217.48245239257812
265,20201025,157,217.48245239257812
266,20201026,157,217.48245239257812
267,20201027,157,217.48245239257812
268,20201028,157,217.48245239257812
269,20201030,157,217.48245239257812
270,20201031,157,217.48245239257812
271,20201101,157,217.48245239257812
272,20201102,157,217.48245239257812
273,20201103,157,217.48245239257812
274,20201104,157,217.48245239257812
275,20201105,157,217.48245239257812
276,20201106,157,217.48245239257812
277,20201108,157,217.48245239257812
278,20201109,157,217.48245239257812
279,20201110,157,217.48245239257812
280,20201111,157,217.48245239257812
281,20201112,157,217.48245239257812
282,20201114,157,217.48245239257812
283,20201115,157,217.48245239257812
284,20201117,157,217.48245239257812
285,20201118,157,217.48245239257812
286,20201119,157,217.48245239257812
287,20201120,157,217.48245239257812
288,20201121,157,217.48245239257812
289,20201122,157,217.48245239257812
290,20201123,157,217.48245239257812
291,20201124,157,217.48245239257812
292,20201125,157,217.48245239257812
293,20201126,157,217.48245239257812
294,20201127,157,217.48245239257812
295,20201128,157,217.48245239257812
296,20201129,157,217.48245239257812
297,20201130,157,217.48245239257812
298,20201201,157,217.48245239257812
299,20201202,157,217.48245239257812
300,20201203,157,217.48245239257812
301,20201204,157,217.48245239257812
302,20201206,157,217.48245239257812
303,20201207,157,217.48245239257812
304,20201208,157,217.48245239257812
305,20201209,157,217.48245239257812
306,20201210,157,217.48245239257812
307,20201211,157,217.48245239257812
308,20201212,157,217.48245239257812
309,20201213,157,217.48245239257812
310,20201214,157,217.48245239257812
311,20201215,157,217.48245239257812
312,20201216,157,217.48245239257812
313,20201217,157,217.48245239257812
314,20201218,157,217.48245239257812
315,20201219,157,217.48245239257812
316,20201220,157,217.48245239257812
317,20201221,157,217.48245239257812
318,20201222,157,217.48245239257812
319,20201223,157,217.48245239257812
320,20201224,157,217.48245239257812
321,20201225,157,217.48245239257812
322,20201226,157,217.48245239257812
323,20201227,157,217.48245239257812
324,20201228,157,217.48245239257812
325,20201229,157,217.48245239257812
326,20201230,157,217.48245239257812
327,20201231,157,217.48245239257812
328,20210101,157,217.48245239257812
329,20210102,157,217.48245239257812
330,20210103,157,217.48245239257812
331,20210104,157,217.48245239257812
