,date,true_confirm,predict_confirm
0,20200119,1,154.04457092285156
1,20200120,17,169.93629455566406
2,20200121,26,188.57298278808594
3,20200122,32,212.43942260742188
4,20200123,53,244.22314453125
5,20200124,78,282.8992919921875
6,20200125,111,331.04522705078125
7,20200126,146,389.18572998046875
8,20200127,188,456.3580322265625
9,20200128,241,532.4830322265625
10,20200129,311,618.484130859375
11,20200130,393,706.8403930664062
12,20200131,520,794.843505859375
13,20200201,604,874.4456787109375
14,20200202,683,950.008544921875
15,20200203,797,1021.3676147460938
16,20200204,870,1079.7960205078125
17,20200205,944,1132.2470703125
18,20200206,1018,1177.7662353515625
19,20200207,1075,1214.3519287109375
20,20200208,1120,1244.981689453125
21,20200209,1151,1273.0245361328125
22,20200210,1177,1298.9287109375
23,20200211,1219,1322.6495361328125
24,20200212,1241,1341.0872802734375
25,20200213,1261,1357.11328125
26,20200214,1294,1370.1005859375
27,20200215,1316,1377.51318359375
28,20200216,1322,1381.3289794921875
29,20200217,1328,1384.51171875
30,20200218,1331,1386.9635009765625
31,20200219,1332,1389.403564453125
32,20200220,1333,1391.899658203125
33,20200221,1339,1394.4969482421875
34,20200222,1342,1396.16015625
35,20200223,1345,1397.343017578125
36,20200224,1347,1398.0223388671875
37,20200225,1347,1398.4332275390625
38,20200226,1347,1398.9268798828125
39,20200227,1348,1399.4361572265625
40,20200228,1349,1399.860107421875
41,20200229,1349,1400.183837890625
42,20200301,1350,1400.5980224609375
43,20200302,1350,1400.84375
44,20200303,1350,1401.1962890625
45,20200304,1350,1401.6680908203125
46,20200305,1351,1402.28759765625
47,20200306,1352,1402.9051513671875
48,20200307,1352,1403.450439453125
49,20200308,1352,1404.0543212890625
50,20200309,1353,1405.06689453125
51,20200310,1353,1406.255126953125
52,20200311,1356,1407.9383544921875
53,20200312,1356,1409.8272705078125
54,20200313,1356,1413.1641845703125
55,20200314,1357,1418.0205078125
56,20200315,1361,1424.10986328125
57,20200316,1364,1430.9410400390625
58,20200317,1369,1439.24267578125
59,20200318,1378,1448.338623046875
60,20200319,1392,1457.3763427734375
61,20200320,1399,1465.4134521484375
62,20200321,1407,1474.478759765625
63,20200322,1413,1483.616943359375
64,20200323,1428,1493.5413818359375
65,20200324,1433,1502.298828125
