,confirmedCount,deadCount,actualConfirmedCount,actualDeadCount
0,447.0,7.0,447,7
1,527.8786993839603,7.486347461369554,438,7
2,623.1900454694387,8.060583532159862,371,7
3,735.4365947805395,8.738388265640147,349,7
4,867.512331064861,9.538073422787901,349,7
5,1022.7739950367802,10.48113127056645,395,7
6,1205.0832257813654,11.592638180121488,418,7
7,1418.8607955494394,12.901794155706156,497,7
8,1669.1390244208353,14.44253812477041,783,7
9,1961.5974314694265,16.254125900925896,1110,7
10,2302.5919967634477,18.381888703178255,1449,7
11,2699.142669775687,20.877817561897427,1670,7
12,3158.888839667874,23.801233574052564,1670,7
13,3689.9822760066304,27.219376068602024,2488,7
14,4300.920584675941,31.207804417710417,2732,7
15,5000.231132971108,35.850668403737714,3004,7
16,5796.068645723289,41.24045200180273,3288,7
17,6695.643748962829,47.47739748209387,4057,7
18,7704.469402886364,54.66817238382726,4955,7
19,8825.43790538072,62.923738839823656,5745,7
20,10057.724063276602,72.35618467357514,6362,7
21,11395.589584142741,83.07443526978298,6981,7
22,12827.152464789957,95.17867739258516,7818,7
23,14333.319030353354,108.75369496157663,9650,7
24,15887.042679070842,123.861255117969,12307,7
25,17453.14636299111,140.53199185771587,14920,7
26,18988.956414760498,158.75752431200152,17787,7
27,20445.893948420136,178.48366548328514,19471,10
28,21772.092814226828,199.60575117531602,21337,17
29,22915.894398189972,221.96703062139397,22143,24
30,23829.897571336838,245.36087156723718,23597,32
31,24475.05511075918,269.53709953519376,23764,43
32,24824.229033046562,294.2121771878234,24609,55
33,24864.644898197846,319.08247278622474,23728,94
34,24598.873235051426,343.83923901202905,23698,145
35,24044.200942090207,368.18377186836665,23364,197
36,23230.565382329398,391.84120351258105,22282,245
37,22197.42606893576,414.57165843785407,21217,292
38,20990.095875593423,436.17795737003206,24174,344
39,19656.05737158385,456.5096106257881,22570,391
40,18241.68305484175,475.46334285235696,20265,429
41,16789.670813457975,492.98052107689455,16716,461
42,15337.277207840343,509.04264485039306,12988,481
43,13915.360469401272,523.6653187135793,11366,497
44,12548.111028272979,536.8916661226494,9877,510
45,11253.309395792252,548.7857581431551,9877,510
46,10042.942227716123,559.4264868585587,7296,535
47,8924.01967642872,568.9021697460213,6564,543
48,7899.468070677918,577.3060193876304,6232,554
49,6969.009925864602,584.7324988528304,5613,560
50,6129.969754725559,591.2745326675308,5081,567
51,5377.975951100515,597.0214669131393,4787,572
52,4707.543701533203,602.0576750434549,4589,574
53,4112.5383720231,606.4616951048407,4061,575
54,3586.545905148853,610.3057561297566,3933,578
55,3123.1359192117966,613.6556477276672,3460,582
