,currentConfirmedCount
700,301
701,314
702,289
703,283
704,292
705,292
706,312
707,302
708,278
709,258
710,238
711,214
712,193
713,201
714,191
715,205
716,249
717,289
718,345
719,394
720,550
721,610
722,670
723,713
724,752
725,810
726,873
727,920
728,1106
729,1288
730,1327
731,1581
732,1648
733,2160
734,2068
735,2330
736,2317
737,2644
738,3510
739,3879
740,4420
741,4656
742,5793
743,5907
744,5990
745,9289
746,11624
747,15138
748,17355
749,20833
750,25954
751,49956
752,60451
753,77650
754,77650
755,116130
756,146816
757,163816
758,181859
759,186926
760,200621
761,211302
762,217620
763,221538
764,224012
765,227451
766,230814
767,233096
768,235005
769,235706
770,236227
771,236482
772,236669
773,237181
774,236758
775,236162
776,236275
777,236275
778,234490
779,234197
780,234220
781,233255
782,232315
783,231307
784,241638
785,241638
786,246239
787,246211
788,245247
789,244896
790,244297
791,242958
792,241478
793,240786
794,240537
795,240537
796,237615
797,236134
798,234628
799,233846
800,233431
801,233397
802,232877
803,232293
804,232729
805,232655
806,249950
807,250841
808,250879
809,261278
810,261201
811,262028
812,261985
813,261858
814,261751
815,261716
816,261741
817,261678
818,261678
819,261514
820,261404
821,261328
822,261323
823,261291
824,261224
825,261140
826,261083
827,261050
828,261014
