Time,确诊,治愈,死亡,新增确诊,新增本土,新增无症状
2.14,1368,1320,9,1,0,2
2.15,1368,1327,9,0,0,1
2.16,1368,1334,9,0,0,2
2.17,1368,1336,9,0,0,1
2.18,1372,1338,9,4,0,1
2.19,1378,1341,9,6,0,0
2.20,1387,1343,9,9,0,0
2.21,1395,1345,9,8,4,1
2.22,1413,1348,9,18,10,0
2.23,1422,1348,9,9,2,5
2.24,1432,1349,9,10,2,1
2.25,1437,1353,9,5,1,0
2.26,1447,1357,9,10,2,2
2.27,1467,1357,9,20,0,4
2.28,1479,1361,9,12,0,2
3.1,1484,1362,9,5,0,1
3.2,1495,1365,9,11,0,9
3.3,1504,1370,9,9,0,4
3.4,1513,1375,9,9,0,3
3.5,1526,1379,9,13,0,6
3.6,1532,1383,9,6,0,3
3.7,1554,1388,9,22,1,17
3.8,1565,1394,9,11,6,8
3.9,1583,1405,9,18,4,9
3.10,1603,1414,9,20,5,7
3.11,1609,1422,9,6,1,8
3.12,1627,1430,9,18,6,2
3.13,1636,1435,9,9,6,3
3.14,1651,1451,9,15,6,6
3.15,1663,1463,9,12,9,2
3.16,1675,1468,9,12,4,1
3.17,1689,1478,9,14,7,1
3.18,1700,1496,9,11,1,6
3.19,1715,1511,9,15,1,0
3.20,1723,1527,9,8,4,2
3.21,1733,1535,9,10,6,5
3.22,1738,1543,9,5,4,0
3.23,1742,1567,9,4,4,0
3.24,1747,1597,9,5,0,4
3.25,1755,1608,9,8,1,10
3.26,1757,1620,9,2,1,1
3.27,1759,1633,9,2,0,2
3.28,1762,1649,9,3,0,2
3.29,1765,1664,9,3,2,0
3.30,1767,1675,9,2,0,2
3.31,1769,1687,9,2,0,4
4.1,1777,1702,9,8,0,3
4.2,1777,1711,9,0,0,0
4.3,1781,1718,9,4,1,0
4.4,1791,1723,9,10,8,2
4.5,1795,1726,9,4,4,1
4.6,1800,1733,9,5,4,0
4.7,1809,1736,9,9,9,1
4.8,1817,1737,9,8,6,1
4.9,1821,1743,9,4,3,1
4.10,1822,1746,9,1,0,0
4.11,1826,1747,9,4,4,0
4.12,1826,1750,9,0,0,0
4.13,1828,1753,9,2,1,0
4.14,1831,1755,9,3,2,0
4.15,1832,1762,9,1,0,3
4.16,1832,1766,9,0,0,3
4.17,1839,1773,9,7,3,1
4.18,1842,1782,9,3,2,0
4.19,1844,1785,9,2,2,0
4.20,1845,1787,9,1,1,0
4.21,1846,1790,9,1,1,1
4.22,1854,1793,9,8,6,0
4.23,1876,1799,9,22,22,1
4.24,1891,1804,9,15,14,5
4.25,1923,1806,9,32,32,1
4.26,1954,1809,9,31,31,3
4.27,2003,1810,9,49,48,2
4.28,2052,1814,9,49,47,4
4.29,2102,1816,9,50,48,6
4.30,2155,1827,9,53,53,7
5.1,2191,1837,9,36,36,5
5.2,2242,1842,9,51,51,11
5.3,2289,1850,9,47,46,5
5.4,2332,1870,9,43,42,8
5.5,2387,1876,9,55,55,17
5.6,2433,1892,9,46,45,9
5.7,2477,1902,9,44,44,18
5.8,2510,1915,9,33,33,16
5.9,2572,1941,9,62,61,13
5.10,2597,1983,9,25,24,14
5.11,2632,2028,9,35,35,11
5.12,2675,2121,9,43,42,9
5.13,2707,2160,9,32,32,25
5.14,2740,2215,9,33,33,9
