,time,vaccination number (w)
0,2021-03-23,8284.6
1,2021-03-24,8585.97
2,2021-03-25,9134.6
3,2021-03-26,9747.0
4,2021-03-27,10241.7
5,2021-03-28,10661.3
6,2021-03-29,11096.2
7,2021-03-30,11469.0
8,2021-03-31,11982.1
9,2021-04-01,12661.6
10,2021-04-02,13380.1
11,2021-04-03,13667.7
12,2021-04-04,13997.0
13,2021-04-05,14280.2
14,2021-04-06,14539.2
15,2021-04-07,14907.1
16,2021-04-08,15515.0
17,2021-04-09,16112.1
18,2021-04-10,16447.1
19,2021-04-11,16734.3
20,2021-04-12,17192.8
21,2021-04-13,17562.3
22,2021-04-14,17921.6
23,2021-04-15,18353.6
24,2021-04-16,18736.8
25,2021-04-17,18980.9
26,2021-04-18,19212.7
27,2021-04-19,19502.2
28,2021-04-20,19896.5
29,2021-04-21,20419.1
30,2021-04-22,21122.3
31,2021-04-23,21608.4
32,2021-04-24,22030.9
33,2021-04-25,22490.1
34,2021-04-26,22948.9
35,2021-04-27,23597.6
36,2021-04-28,24390.5
37,2021-04-29,25346.3
38,2021-04-30,26506.4
39,2021-05-01,27040.6
40,2021-05-02,27533.8
41,2021-05-03,27990.5
42,2021-05-04,28459.5
43,2021-05-05,28962.7
44,2021-05-06,29773.4
45,2021-05-07,30822.6
46,2021-05-08,31758.6
47,2021-05-09,32430.7
48,2021-05-10,33296.4
49,2021-05-11,34269.7
50,2021-05-12,35427.2
51,2021-05-13,36691.0
52,2021-05-14,38063.3
53,2021-05-15,39298.7
54,2021-05-16,40693.8
55,2021-05-17,42199.1
56,2021-05-18,43568.9
57,2021-05-19,44951.1
58,2021-05-20,46669.8
59,2021-05-21,48334.3
60,2021-05-22,49727.2
61,2021-05-23,51085.8
62,2021-05-24,52725.3
63,2021-05-25,54671.4
64,2021-05-26,56672.3
65,2021-05-27,58436.0
66,2021-05-28,60299.1
67,2021-05-29,62097.4
68,2021-05-30,63917.2
69,2021-05-31,66146.8
70,2021-06-01,68190.8
71,2021-06-02,70482.6
72,2021-06-03,72348.6
73,2021-06-04,74448.3
74,2021-06-05,76306.5
75,2021-06-06,77787.9
76,2021-06-07,79413.4
77,2021-06-08,80896.2
78,2021-06-09,82485.6
79,2021-06-10,84529.9
80,2021-06-11,86351.3
81,2021-06-12,87852.3
82,2021-06-13,89277.0
83,2021-06-14,90413.4
84,2021-06-15,92391.0
85,2021-06-16,94515.0
86,2021-06-17,96665.2
87,2021-06-18,99025.7
88,2021-06-19,101048.9
89,2021-06-20,102922.3
90,2021-06-21,104974.4
91,2021-06-22,107178.3
92,2021-06-23,109590.2
93,2021-06-24,112064.3
94,2021-06-25,114380.5
95,2021-06-26,116523.0
96,2021-06-27,118578.7
97,2021-06-28,120671.4
98,2021-06-29,122573.4
99,2021-06-30,124467.5
100,2021-07-01,126414.9
101,2021-07-02,128317.5
102,2021-07-03,129603.7
103,2021-07-04,130549.9
104,2021-07-05,131841.7
105,2021-07-06,133166.9
106,2021-07-07,134238.1
107,2021-07-08,135422.6
108,2021-07-09,136546.3
109,2021-07-10,137416.2
110,2021-07-11,138248.2
111,2021-07-12,139143.2
112,2021-07-13,140201.9
113,2021-07-14,141460.9
114,2021-07-15,142634.7
115,2021-07-16,143762.3
116,2021-07-17,144742.7
117,2021-07-18,145655.7
118,2021-07-19,146731.6
119,2021-07-20,147848.4
120,2021-07-21,149160.5
121,2021-07-22,150760.5
122,2021-07-23,152489.7
123,2021-07-24,153870.7
124,2021-07-25,155026.8
125,2021-07-26,156587.2
126,2021-07-27,158336.1
127,2021-07-28,160124.9
128,2021-07-29,161921.8
129,2021-07-30,163739.5
130,2021-07-31,165281.9
131,2021-08-01,166952.7
132,2021-08-02,168868.3
133,2021-08-03,170835.6
134,2021-08-04,172622.3
135,2021-08-05,174181.2
136,2021-08-06,175778.0
137,2021-08-07,177030.4
138,2021-08-08,178252.5
139,2021-08-09,179504.9
140,2021-08-10,180809.2
141,2021-08-11,182023.8
142,2021-08-12,183245.0
143,2021-08-13,184438.2
144,2021-08-14,185383.9
145,2021-08-15,186292.8
146,2021-12-11,260270.3
147,2021-12-12,261221.8
148,2021-12-13,262119.0
149,2022-1-17,294211.1
150,2022-1-21,296067.5
151,2022-1-22,296437.0
152,2022-1-23,296812.1
153,2022-1-24,297345.9
154,2022-1-25,297864.6
155,2022-1-26,298405.5
156,2022-1-27,298948.0
157,2022-1-28,299416.2
158,2022-1-29,299788.4
159,2022-2-3,300162.4
160,2022-2-6,300686.2
161,2022-2-7,301066.9
162,2022-2-8,301615.0
163,2022-2-9,302264.6
164,2022-2-10,302958.8
165,2022-2-12,304237.6
166,2022-2-13,304668.7
167,2022-2-14,305243.5
168,2022-2-16,306339.1
169,2022-2-17,306961.9
170,2022-2-18,307575.2
171,2022-2-19,308078.8
172,2022-2-21,309030.9
173,2022-2-22,309576.7
174,2022-2-23,310176.0
175,2022-2-25,311462.2
176,2022-2-26,311966.4
177,2022-2-28,312984.5
178,2022-3-1,313559.8
179,2022-3-2,314147.3
180,2022-3-3,314700.7
181,2022-3-6,316068.5
182,2022-3-7,316548.6
183,2022-3-8,316991.6
184,2022-3-9,317498.4
185,2022-3-11,318523.9
186,2022-3-15,320368.8
187,2022-3-16,320904.1
188,2022-3-17,321377.3
189,2022-3-17,321377.0
190,2022-3-18,321871.6
191,2022-3-19,322286.8
192,2022-3-22,323460.1
193,2022-3-23,323917.0
194,2022-3-25,324762.4
195,2022-3-27,325498.4
196,2022-3-29,326312.9
197,2022-3-31,327087.4
198,2022-4-1,327412.0
199,2022-4-3,327924.9
200,2022-4-4,328160.4
201,2022-4-5,328358.6
202,2022-4-6,328637.3
203,2022-4-7,328946.3
204,2022-4-8,329264.3
205,2022-4-9,329520.8
206,2022-4-10,329755.1
207,2022-4-11,330032.8
208,2022-4-12,330312.6
209,2022-4-13,330588.4
210,2022-4-14,330861.6
211,2022-4-15,331124.5
212,2022-4-16,331333.8
213,2022-4-17,331518.6
214,2022-4-18,331746.3
215,2022-4-19,331995.0
216,2022-4-20,332248.8
217,2022-4-21,332504.9
218,2022-4-22,332761.6
219,2022-4-23,332976.6
220,2022-4-24,333177.1
221,2022-4-25,333401.8
222,2022-4-26,333628.5
223,2022-4-27,333855.5
224,2022-4-28,334071.1
225,2022-4-29,334300.8
226,2022-4-30,334452.8
227,2022-5-1,334552.4
228,2022-5-2,334660.7
229,2022-5-3,334764.0
230,2022-5-4,334858.8
231,2022-5-5,334970.2
232,2022-5-6,335093.4
233,2022-5-7,335205.3
234,2022-5-8,335302.2
235,2022-5-9,335419.6
236,2022-5-10,335553.5
237,2022-5-11,335712.0
238,2022-5-12,335857.6
239,2022-5-13,336005.0
240,2022-5-14,336133.3
241,2022-5-15,336238.9
