,date,true_confirm,predict_confirm
0,20200120,1,719.2738647460938
1,20200121,9,723.5642700195312
2,20200122,16,728.349365234375
3,20200123,20,733.8953857421875
4,20200124,33,740.9755249023438
5,20200125,40,749.17578125
6,20200126,53,758.48583984375
7,20200127,66,768.0211181640625
8,20200128,80,777.5899047851562
9,20200129,101,787.6165161132812
10,20200130,128,798.1730346679688
11,20200131,153,808.1806640625
12,20200201,177,816.9043579101562
13,20200202,193,824.5728759765625
14,20200203,208,831.7615966796875
15,20200204,233,838.2052001953125
16,20200205,254,843.2432861328125
17,20200206,269,847.3319702148438
18,20200207,281,850.7676391601562
19,20200208,292,853.79052734375
20,20200209,295,856.364501953125
21,20200210,302,858.825439453125
22,20200211,306,860.87548828125
23,20200212,313,862.804443359375
24,20200213,318,864.2293701171875
25,20200214,326,865.297607421875
26,20200215,328,865.8951416015625
27,20200216,331,866.395263671875
28,20200217,333,866.6832275390625
29,20200218,333,866.8272094726562
30,20200219,333,866.9916381835938
31,20200220,334,867.2593383789062
32,20200221,334,867.5115356445312
33,20200222,335,867.7152709960938
34,20200223,335,867.8246459960938
35,20200224,335,867.9647216796875
36,20200225,336,868.156005859375
37,20200226,337,868.3219604492188
38,20200227,337,868.4041137695312
39,20200228,337,868.4909057617188
40,20200229,337,868.7622680664062
41,20200301,337,869.198486328125
42,20200302,338,869.5676879882812
43,20200303,338,869.7718505859375
44,20200304,338,870.11328125
45,20200305,339,870.6055297851562
46,20200306,342,871.0711059570312
47,20200307,342,871.5074462890625
48,20200308,342,872.281494140625
49,20200309,342,873.2166137695312
50,20200310,344,874.227294921875
51,20200311,344,875.3309936523438
52,20200312,346,876.6729125976562
53,20200313,350,878.2142944335938
54,20200314,353,880.1751708984375
55,20200315,355,882.8740844726562
56,20200316,358,886.2562255859375
57,20200317,361,889.9825439453125
58,20200318,363,894.4111938476562
59,20200319,371,900.3331909179688
60,20200320,380,907.1068115234375
61,20200321,394,914.1431274414062
62,20200322,404,920.9136352539062
63,20200323,413,927.33642578125
64,20200324,433,933.6370849609375
65,20200325,451,939.4586791992188
66,20200326,468,944.5452880859375
67,20200327,485,948.5296630859375
68,20200328,492,951.506591796875
69,20200329,498,954.2086181640625
70,20200330,509,956.7572021484375
71,20200331,516,958.835693359375
72,20200401,522,960.6638793945312
73,20200402,526,962.5331420898438
74,20200403,529,964.6724853515625
75,20200404,531,966.587646484375
76,20200405,536,970.13671875
77,20200406,538,976.590087890625
78,20200407,543,983.1380004882812
79,20200408,552,987.5700073242188
80,20200409,555,992.125244140625
81,20200410,555,997.7342529296875
82,20200411,607,1003.1305541992188
83,20200412,618,1004.7521362304688
84,20200413,618,1006.1956787109375
85,20200414,622,1007.8115234375
86,20200415,628,1008.874267578125
87,20200416,628,1009.5799560546875
88,20200417,628,1010.5232543945312
89,20200418,635,1011.4976196289062
90,20200419,638,1011.9508666992188
91,20200420,638,1012.2299194335938
92,20200421,639,1012.6046142578125
93,20200422,640,1013.0269165039062
94,20200423,641,1013.498291015625
95,20200424,641,1014.1333618164062
96,20200425,642,1015.0030517578125
97,20200426,642,1015.7659912109375
98,20200427,644,1016.5234985351562
99,20200428,645,1017.3670654296875
100,20200429,647,1018.2091064453125
101,20200430,652,1018.8574829101562
102,20200501,652,1019.1982421875
103,20200502,653,1019.5720825195312
104,20200503,655,1019.9239501953125
105,20200504,656,1020.244140625
106,20200505,656,1020.486083984375
107,20200506,657,1020.6947021484375
108,20200507,657,1020.9100341796875
109,20200508,657,1021.1484375
110,20200509,659,1021.5401611328125
111,20200510,659,1022.0620727539062
112,20200511,659,1022.5901489257812
113,20200512,660,1022.9932250976562
114,20200513,660,1023.3841552734375
115,20200514,660,1023.8601684570312
116,20200515,665,1024.384765625
117,20200516,665,1024.5450439453125
118,20200517,666,1024.7056884765625
119,20200518,666,1024.8592529296875
120,20200519,666,1025.058837890625
121,20200520,667,1025.3115234375
122,20200521,667,1025.5865478515625
123,20200522,667,1025.88623046875
124,20200523,668,1026.1907958984375
125,20200524,668,1026.47021484375
126,20200525,669,1026.765869140625
127,20200526,670,1027.0047607421875
128,20200527,671,1027.232666015625
129,20200528,671,1027.3929443359375
130,20200529,672,1027.6712646484375
131,20200530,672,1028.1009521484375
132,20200531,672,1028.50830078125
133,20200601,673,1028.8111572265625
134,20200602,673,1029.1497802734375
135,20200603,673,1029.5438232421875
136,20200604,677,1030.122802734375
137,20200605,677,1030.93310546875
138,20200606,677,1032.0037841796875
139,20200607,678,1032.9051513671875
140,20200608,678,1033.7257080078125
141,20200609,678,1034.8408203125
142,20200610,684,1036.1429443359375
143,20200611,689,1037.025146484375
144,20200612,690,1037.5654296875
145,20200613,691,1038.1063232421875
146,20200614,692,1038.60107421875
147,20200615,695,1039.146484375
148,20200616,695,1039.6258544921875
149,20200617,697,1040.160888671875
150,20200618,697,1040.565185546875
151,20200619,698,1041.0673828125
152,20200620,698,1041.619140625
153,20200621,701,1042.2608642578125
154,20200622,701,1042.72509765625
155,20200623,703,1043.375244140625
156,20200624,703,1044.0904541015625
157,20200625,705,1044.7935791015625
158,20200626,706,1045.32861328125
159,20200627,707,1045.9410400390625
160,20200628,708,1046.5869140625
161,20200629,712,1047.1671142578125
162,20200630,712,1047.5147705078125
163,20200701,713,1047.9595947265625
164,20200702,714,1048.4559326171875
165,20200703,715,1049.0179443359375
166,20200704,716,1049.5540771484375
167,20200705,716,1050.012939453125
168,20200706,718,1050.61669921875
169,20200707,718,1051.28564453125
170,20200708,721,1052.156982421875
171,20200709,722,1052.9647216796875
172,20200710,722,1053.7022705078125
173,20200711,724,1054.4300537109375
174,20200712,725,1055.0523681640625
175,20200713,728,1055.617431640625
176,20200714,731,1056.0577392578125
177,20200715,732,1056.5113525390625
178,20200716,733,1057.1436767578125
179,20200717,733,1057.7611083984375
180,20200718,733,1058.2738037109375
181,20200719,733,1058.8353271484375
182,20200720,735,1059.6251220703125
183,20200722,738,1060.337890625
184,20200724,741,1060.7374267578125
185,20200725,741,1061.0650634765625
186,20200726,741,1061.6895751953125
187,20200727,743,1062.3369140625
188,20200728,744,1062.7222900390625
189,20200729,744,1063.1868896484375
190,20200730,744,1064.2969970703125
191,20200731,748,1066.0654296875
192,20200801,749,1067.5452880859375
193,20200802,749,1069.37060546875
194,20200803,750,1072.5693359375
195,20200804,752,1076.3218994140625
196,20200806,764,1080.1822509765625
197,20200807,766,1084.097412109375
198,20200808,768,1088.30517578125
199,20200809,786,1092.297607421875
200,20200810,794,1095.770263671875
201,20200812,800,1099.7930908203125
202,20200813,816,1104.0980224609375
203,20200814,820,1107.904296875
204,20200815,825,1111.9332275390625
205,20200816,828,1115.57275390625
206,20200817,842,1119.1279296875
207,20200818,850,1122.2088623046875
208,20200820,862,1124.9580078125
209,20200821,875,1126.9554443359375
210,20200822,875,1128.21533203125
211,20200823,880,1129.72314453125
212,20200824,882,1131.2060546875
213,20200825,886,1132.8233642578125
214,20200826,888,1134.2745361328125
215,20200827,891,1135.649658203125
216,20200828,894,1137.04833984375
217,20200829,897,1138.56640625
218,20200830,903,1140.100341796875
219,20200831,904,1141.3111572265625
220,20200901,908,1142.58984375
221,20200902,908,1143.8619384765625
222,20200903,913,1145.73681640625
223,20200904,916,1147.750244140625
224,20200905,918,1149.6976318359375
225,20200906,922,1151.744140625
226,20200907,922,1153.7049560546875
227,20200909,929,1156.4781494140625
228,20200910,937,1160.03271484375
229,20200911,939,1162.9913330078125
230,20200913,947,1165.08544921875
231,20200914,948,1166.9267578125
232,20200915,950,1169.2989501953125
233,20200919,972,1171.678466796875
234,20200920,974,1172.367431640625
235,20200921,975,1173.238037109375
236,20200922,975,1174.837890625
237,20200923,977,1176.705078125
238,20200924,981,1178.44580078125
239,20200925,981,1180.433837890625
240,20200926,982,1182.7537841796875
241,20200927,992,1185.1990966796875
242,20200928,997,1187.4886474609375
243,20200929,999,1189.5980224609375
244,20201001,1007,1191.4906005859375
245,20201002,1011,1193.352783203125
246,20201003,1012,1195.416748046875
247,20201004,1022,1197.6810302734375
248,20201005,1024,1199.7794189453125
249,20201006,1025,1202.1063232421875
250,20201007,1030,1204.4239501953125
251,20201008,1036,1206.701416015625
252,20201009,1038,1209.19580078125
253,20201010,1048,1212.201416015625
254,20201011,1053,1214.8153076171875
255,20201012,1056,1217.19970703125
256,20201013,1061,1219.7850341796875
257,20201014,1064,1222.3568115234375
258,20201015,1075,1225.0147705078125
259,20201016,1080,1227.5721435546875
260,20201017,1085,1230.572021484375
261,20201018,1090,1233.596435546875
262,20201019,1095,1236.67236328125
263,20201020,1097,1239.9637451171875
264,20201021,1105,1243.5020751953125
265,20201022,1114,1246.82373046875
266,20201023,1123,1250.649658203125
267,20201024,1128,1255.0106201171875
268,20201025,1139,1259.1943359375
269,20201026,1142,1262.6417236328125
270,20201027,1149,1266.635009765625
271,20201028,1155,1270.72705078125
272,20201030,1176,1275.1180419921875
273,20201031,1181,1279.165771484375
274,20201101,1187,1283.962890625
275,20201102,1196,1289.0814208984375
276,20201103,1200,1293.743896484375
277,20201104,1208,1298.15625
278,20201105,1223,1302.488525390625
279,20201106,1234,1306.2430419921875
280,20201108,1254,1309.4085693359375
281,20201109,1259,1311.362548828125
282,20201110,1264,1313.2869873046875
283,20201111,1268,1315.0921630859375
284,20201112,1271,1317.040771484375
285,20201114,1277,1319.520751953125
286,20201115,1277,1321.7825927734375
287,20201117,1285,1323.981201171875
288,20201118,1286,1325.92578125
289,20201119,1290,1328.1749267578125
290,20201120,1301,1330.415771484375
291,20201121,1305,1331.9725341796875
292,20201122,1308,1333.2298583984375
293,20201123,1312,1334.603271484375
294,20201124,1314,1336.10888671875
295,20201125,1319,1337.488037109375
296,20201126,1322,1338.701904296875
297,20201127,1322,1340.5076904296875
298,20201128,1325,1342.890380859375
299,20201129,1330,1345.3804931640625
300,20201130,1332,1348.122802734375
301,20201201,1333,1351.1859130859375
302,20201202,1341,1354.5107421875
303,20201203,1350,1357.9154052734375
304,20201204,1353,1361.07373046875
305,20201206,1366,1364.405029296875
306,20201207,1370,1367.5625
307,20201208,1376,1370.832275390625
308,20201209,1385,1373.6370849609375
309,20201210,1390,1376.100341796875
310,20201211,1395,1378.7762451171875
311,20201212,1405,1381.5611572265625
312,20201213,1412,1384.2755126953125
313,20201214,1415,1387.2698974609375
314,20201215,1418,1390.4561767578125
315,20201216,1424,1393.9031982421875
316,20201217,1428,1397.7073974609375
317,20201218,1436,1401.624267578125
318,20201219,1447,1405.054443359375
319,20201220,1455,1408.0810546875
320,20201221,1461,1410.873291015625
321,20201222,1473,1413.3797607421875
322,20201223,1479,1415.438232421875
323,20201224,1483,1417.67041015625
324,20201225,1488,1419.98486328125
325,20201226,1492,1422.121826171875
326,20201227,1494,1424.3092041015625
327,20201228,1498,1426.792236328125
328,20201229,1505,1429.3687744140625
329,20201230,1511,1431.6888427734375
330,20201231,1516,1433.80126953125
331,20210101,1520,1436.0308837890625
332,20210102,1526,1438.6690673828125
333,20210103,1530,1441.2464599609375
334,20210104,1536,1443.5531005859375
335,20210105,1538,1445.58251953125
336,20210106,1543,1447.9229736328125
337,20210107,1551,1450.50048828125
338,20210108,1558,1452.86474609375
339,20210109,1562,1454.91357421875
340,20210110,1564,1457.022705078125
341,20210111,1568,1459.3929443359375
342,20210112,1573,1461.691650390625
343,20210113,1581,1463.9117431640625
344,20210114,1583,1466.087646484375
345,20210115,1590,1468.8585205078125
346,20210116,1594,1471.8961181640625
347,20210117,1598,1475.158203125
348,20210118,1602,1478.3160400390625
349,20210119,1606,1481.5462646484375
350,20210120,1615,1485.2723388671875
351,20210121,1624,1488.9500732421875
352,20210122,1635,1492.3753662109375
353,20210123,1641,1495.7830810546875
354,20210124,1644,1499.5050048828125
355,20210125,1654,1503.26904296875
356,20210126,1660,1506.5478515625
357,20210127,1667,1509.9010009765625
358,20210128,1676,1513.179931640625
359,20210129,1687,1516.2939453125
360,20210130,1694,1519.2657470703125
361,20210131,1698,1521.985107421875
362,20210201,1705,1524.5545654296875
363,20210202,1709,1527.0579833984375
364,20210203,1714,1529.6483154296875
365,20210204,1724,1532.006591796875
366,20210205,1729,1533.90185546875
367,20210206,1732,1535.834228515625
368,20210207,1739,1537.804443359375
369,20210208,1741,1539.2186279296875
370,20210209,1747,1540.687255859375
371,20210210,1747,1542.0516357421875
372,20210211,1754,1543.5394287109375
373,20210212,1757,1544.85595703125
374,20210213,1759,1546.4375
375,20210214,1760,1547.9647216796875
376,20210215,1765,1549.42919921875
377,20210216,1765,1550.6956787109375
378,20210217,1769,1552.0821533203125
379,20210218,1776,1553.4273681640625
380,20210219,1778,1554.609619140625
381,20210220,1781,1555.7806396484375
382,20210221,1783,1556.674560546875
383,20210222,1783,1557.4423828125
384,20210223,1786,1558.4136962890625
385,20210224,1789,1559.263671875
386,20210225,1793,1560.0098876953125
387,20210226,1794,1560.9478759765625
388,20210227,1794,1562.163818359375
389,20210228,1796,1563.287841796875
390,20210301,1797,1564.2188720703125
391,20210302,1797,1565.462890625
392,20210303,1802,1567.1754150390625
393,20210304,1808,1568.7730712890625
394,20210305,1809,1570.0733642578125
395,20210306,1811,1571.5103759765625
396,20210307,1811,1573.00048828125
397,20210308,1818,1574.69287109375
398,20210309,1820,1576.12451171875
399,20210310,1825,1577.6195068359375
400,20210311,1828,1578.87060546875
401,20210312,1830,1580.08837890625
402,20210313,1834,1581.43896484375
403,20210314,1835,1582.6243896484375
404,20210315,1840,1583.91650390625
405,20210316,1841,1585.0953369140625
406,20210317,1843,1586.2764892578125
407,20210318,1848,1587.5479736328125
408,20210319,1848,1588.9776611328125
409,20210320,1852,1590.914794921875
410,20210321,1855,1592.789794921875
411,20210322,1856,1594.3499755859375
412,20210323,1859,1595.918701171875
413,20210324,1863,1597.589111328125
414,20210325,1870,1599.1416015625
415,20210326,1876,1600.282958984375
416,20210327,1878,1601.106689453125
417,20210328,1878,1602.1153564453125
418,20210329,1882,1603.72412109375
419,20210330,1882,1605.2530517578125
420,20210331,1885,1606.6112060546875
421,20210401,1887,1608.2164306640625
422,20210402,1887,1610.3798828125
423,20210403,1897,1612.7388916015625
424,20210404,1900,1614.355712890625
425,20210405,1902,1615.9832763671875
426,20210406,1904,1617.68310546875
427,20210407,1913,1619.4559326171875
428,20210408,1916,1620.9110107421875
429,20210409,1920,1622.3963623046875
430,20210410,1922,1623.713623046875
431,20210411,1925,1625.0625
432,20210412,1926,1626.31982421875
433,20210413,1931,1627.622314453125
434,20210414,1934,1628.8311767578125
435,20210415,1937,1630.0159912109375
436,20210416,1940,1631.130126953125
437,20210417,1942,1632.2222900390625
438,20210418,1943,1633.64111328125
439,20210419,1946,1635.571533203125
440,20210420,1949,1637.3846435546875
441,20210421,1950,1638.7490234375
442,20210422,1955,1640.4129638671875
443,20210423,1955,1642.4130859375
444,20210424,1967,1644.7794189453125
445,20210425,1969,1646.3695068359375
446,20210426,1970,1648.0460205078125
447,20210427,1972,1650.0584716796875
448,20210428,1977,1652.031005859375
449,20210429,1984,1653.510009765625
450,20210430,1987,1654.6881103515625
451,20210501,1991,1656.0938720703125
452,20210502,1996,1657.524169921875
453,20210503,1999,1658.85205078125
454,20210504,1999,1660.2691650390625
455,20210505,1999,1661.8765869140625
456,20210506,2004,1663.640869140625
457,20210507,2006,1665.1585693359375
458,20210508,2012,1666.674072265625
459,20210509,2016,1667.994873046875
460,20210510,2020,1669.3582763671875
461,20210511,2023,1670.8087158203125
462,20210512,2025,1672.5238037109375
463,20210513,2026,1674.46826171875
464,20210514,2029,1676.6763916015625
465,20210515,2031,1678.989990234375
466,20210516,2037,1681.3780517578125
467,20210517,2041,1683.4881591796875
468,20210518,2050,1685.6297607421875
469,20210519,2052,1687.483154296875
470,20210520,2061,1689.4482421875
471,20210521,2062,1690.8212890625
472,20210522,2066,1692.3572998046875
473,20210523,2069,1694.229248046875
474,20210524,2072,1696.18310546875
475,20210525,2078,1698.02490234375
476,20210526,2079,1699.961181640625
477,20210527,2081,1702.2960205078125
478,20210528,2088,1704.6177978515625
479,20210529,2093,1706.5994873046875
480,20210530,2095,1708.5787353515625
481,20210531,2102,1710.8623046875
482,20210601,2108,1712.9112548828125
483,20210602,2111,1714.503173828125
484,20210603,2116,1716.1915283203125
485,20210604,2117,1718.033447265625
486,20210605,2124,1720.1485595703125
487,20210606,2128,1722.1845703125
488,20210607,2130,1724.4134521484375
489,20210608,2132,1726.7515869140625
490,20210609,2139,1729.1844482421875
491,20210610,2141,1731.3223876953125
492,20210611,2149,1733.4697265625
493,20210612,2155,1735.4246826171875
494,20210613,2160,1737.374267578125
495,20210614,2165,1739.0465087890625
496,20210615,2168,1740.26806640625
497,20210616,2170,1741.568603515625
498,20210617,2173,1743.1199951171875
499,20210618,2179,1744.6307373046875
500,20210619,2182,1745.9420166015625
501,20210620,2183,1747.2674560546875
502,20210621,2184,1748.468017578125
503,20210622,2190,1749.6351318359375
504,20210623,2190,1750.506591796875
505,20210624,2196,1751.4522705078125
506,20210625,2199,1752.1605224609375
507,20210626,2200,1752.968505859375
508,20210627,2201,1753.8656005859375
509,20210628,2202,1754.858154296875
